iteration: 63500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 64000, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 64500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 65000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 65500, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 66000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 66500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 67000, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 67500, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 68000, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 68500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 69000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 69500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 70000, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 70500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 71000, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 71500, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 72000, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 72500, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 73000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 73500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 74000, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 74500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 75000, loss: 0.0015, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 75500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 76000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 76500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
